Теги,Название окна,Пояснение,Текст Рус ,Текст Eng ,Рус символы
client.interface.settings.checkbox_purchase_confirmation,Окно настроек игры (Мобильное),Чек бокс посвящённый отключению/подключению Подтверждения покупки,Подтверждение покупки,,21
client.interface.settings.buttons.language_1_ru,Окно настроек игры -> выбор языка (Мобильное),Кнопка 1 с названием языка,Русский,Русский,7
client.interface.settings.buttons.language_2_en,Окно настроек игры -> выбор языка (Мобильное),Кнопка 2 с названием языка,Английский,English,10
client.interface.settings.buttons.language_3_fr,Окно настроек игры -> выбор языка (Мобильное),Кнопка 3 с названием языка,Французский,,11
client.interface.settings.buttons.language_4_de,Окно настроек игры -> выбор языка (Мобильное),Кнопка 4 с названием языка,Немецкий,,8
client.interface.settings.buttons.language_5_es,Окно настроек игры -> выбор языка (Мобильное),Кнопка 5 с названием языка,Испанский,,9
client.interface.settings.buttons.language_6_it,Окно настроек игры -> выбор языка (Мобильное),Кнопка 6 с названием языка,Итальянский,,11
client.interface.settings.buttons.language_7_pt,Окно настроек игры -> выбор языка (Мобильное),Кнопка 7 с названием языка,Португальский,,13
client.interface.settings.buttons.language_8_zh_1,Окно настроек игры -> выбор языка (Мобильное),Кнопка 8 с названием языка,Китайский 1,,11
client.interface.settings.buttons.language_9_zh_2,Окно настроек игры -> выбор языка (Мобильное),Кнопка 9 с названием языка,Китайский 2,,11
client.interface.settings.buttons.language_10_ja,Окно настроек игры -> выбор языка (Мобильное),Кнопка 10 с названием языка,Японский,,8
client.interface.settings.buttons.language_11_tr,Окно настроек игры -> выбор языка (Мобильное),Кнопка 11 с названием языка,Турецкий,,8
client.interface.settings.buttons.language_12_ko,Окно настроек игры -> выбор языка (Мобильное),Кнопка 12 с названием языка,Корейский,,9
client.interface.settings.buttons.language_restore,Окно настроек игры -> выбор языка (Мобильное),Кнопка возврата к основному окну настроек,Вернуться,Back,9
client.interface.rate_us.title,Окно оцените приложений,Заголовок окна,Понравилось? Оцените!,Like us? Rate us?,21
client.interface.rate_us.text,Окно оцените приложений,Текст в окне,"Вам понравилась наша игра? Пожалуйста, оцените её. Нам очень важно Ваше мнение!","If you like Cake Story. Please, Rate Us. We need to know what You think!",79
client.interface.rate_us.buttons.no,Окно оцените приложений,Кнопка отказаться оценивать приложение,"Нет, спасибо","No, thanks",12
client.interface.rate_us.buttons.yes,Окно оцените приложений,Кнопка оценить приложение,Оценить!,Rate!,8
client.interface.achievements.progress,Окно достижений,Надпись под названием достижения,Награда: %num,,13
client.interface.achievements.progress,Окно достижений,Надпись над шкалой прогресса,Прогресс по достижению:,,23
client.interface.achievements.buttons.take_prize,Окно достижений,"Кнопка возникающая когда можно получить награду за выполнение стадии достижения, на месте шкалы прогресса",Получить награду,,
client.interface.achievements.buttons.already_take_all,Окно достижений,Надпись вместо шкалы прогресса когда собраны все стадии достижения,Вы получили все уровни этого достижения!,,
client.interface.achievements.buttons.achivement_cout,Окно достижений,Надпись под окном,Получено %num_1 из %num_2,,25
client.interface.achievements.share,Окно появления секретного уровня,Надпись при выбранной опции для рассказа о своих достижениях,Рассказать и получить бонус,,
client.interface.achievements.no_share,Окно появления секретного уровня,Надпись при не выбранной опции для рассказа о своих достижениях,Не рассказывать и не получить бонус,,
client.interface.main_menu.buttons.play,Окно главного меню,Надпись на кнопке,Играть,Play Now,6
client.interface.main_menu.live,Окно главного меню,Надпись на кнопке,Жизнь,Live,5
client.interface.main_menu.sync,Окно главного меню,Надпись на кнопке,Синхронизация,Sync,13
client.interface.main_menu.leader_board,Окно главного меню,Надпись на кнопке,Лидеры,Leaderboard,6
client.interface.main_menu.buttons.play_as_guest,Окно главного меню,Надпись на кнопке,Играть с гостевого аккаунта,Play as Guest,27
client.interface.jukebox.title,Окно рулетки в музыкальном аппарате в кафе,Заголовок окна,Музыкальный аппарат,Juke Box,19
client.interface.jukebox.timer.ready,Окно рулетки в музыкальном аппарате в кафе,Надпись на панели над вариантами призов когда у игрока есть возможность играть,Каждые %num часов,Every NN hours,17
client.interface.jukebox.wait,Окно рулетки в музыкальном аппарате в кафе,Надпись на панели над вариантами призов когда у игрока нет возможности играть,Осталось времени: %num_1:%num_2,,31
client.interface.jukebox.buttons.play,Окно рулетки в музыкальном аппарате в кафе,Надпись на кнопке,Играть,Start,6
client.interface.jukebox.buttons.wait,Окно рулетки в музыкальном аппарате в кафе,Надпись на кнопке,Ждите,Wait,5
client.interface.jukebox.buttons.prize,Окно рулетки в музыкальном аппарате в кафе,Надпись на кнопке,Взять приз,Take Prize,10
,Основное окно кафе,Кнопка для перехода к мапскрину,Путешествие,Map,11
,Основное окно кафе,Иконка для перехода к ивенту,Событие,Event,7
,Основное окно кафе,Иконка для получении информации по секретному уровню,Секретный,Secret,9
,Основное окно кафе,Появляется на индикаторе количества жизней когда они все есть,Максимум,full,8
,Основное окно кафе,Иконка для перехода к доступным улучшениям в кафе,Действие,Action,8
,Окно ремонта/покупки объекта в кафе,Заголовок окна,Обновите интерьер,,17
,Окно ремонта/покупки объекта в кафе,Подзаголовок окна,Новые возможности в обновлённом Кафе,,36
,Окно ремонта/покупки объекта в кафе,Название объекта,https://docs.google.com/a/plamee.com/spreadsheets/d/1xpI6bpkUBfACblmUOgXw9l10ePiZ71zOWeJgvdDf5YA/edit#gid=782045066,,115
,Окно ремонта/покупки объекта в кафе,Класс объекта,https://docs.google.com/a/plamee.com/spreadsheets/d/1xpI6bpkUBfACblmUOgXw9l10ePiZ71zOWeJgvdDf5YA/edit#gid=782045066,,115
,Окно ремонта/покупки объекта в кафе,Синий текст под классом объекта при нажатии открывающий информацию о объекте,Информация,More info,10
,Окно ремонта/покупки объекта в кафе (окно инфо),"Развернитое описание объекта всплывающее при нажатии на кнопку ""i""",https://docs.google.com/a/plamee.com/spreadsheets/d/1xpI6bpkUBfACblmUOgXw9l10ePiZ71zOWeJgvdDf5YA/edit#gid=782045066,,115
,Окно ремонта/покупки объекта в кафе,Текст под информационной ссылкой,Количество:,Quantity:,11
,Окно ремонта/покупки объекта в кафе,Надпись на кнопке,Купить и установить,Buy and Use,19
,Окно ремонта/покупки объекта в кафе,Надпись на кнопке,Заменить,Replace,8
,,,,,13504
